Auction_key,Auction_class,Bid_class,Claim_price,Appraisal_company,Appraisal_date,Auction_count,Auction_miscarriage_count,Total_land_gross_area,Total_land_real_area,Total_land_auction_area,Total_building_area,Total_building_auction_area,Total_appraisal_price,Minimum_sales_price,First_auction_date,Final_auction_date,Final_result,Creditor,addr_do,addr_si,addr_dong,addr_li,addr_san,addr_bunji1,addr_bunji2,addr_etc,Apartment_usage,Preserve_regist_date,Total_floor,Current_floor,Specific,Share_auction_YorN,road_name,road_bunji1,road_bunji2,Close_date,Close_result,point.y,point.x,Hammer_price
2362,임의,개별,500000000,명장감정,2017-02-22 00:00:00,2,1,1205.8,18.27,18.27,81.96,81.96,299000000,239200000,2017-11-17 00:00:00,2017-12-22 00:00:00,낙찰,한화저축은행,부산,부산진구,양정동,,N,276,2,대성문퀸즈더블유 101동 12층 101-1205호,아파트,2012-06-26 00:00:00,15,12,,N,동평로405번길,69.0,,2018-02-28 00:00:00,배당,35.1765811,129.0712283,240000001
1947,임의,일반,37122950,명장감정,2016-02-18 00:00:00,2,1,5043.0,37.38,37.38,84.72,84.72,241000000,192800000,2016-05-27 00:00:00,2016-12-16 00:00:00,낙찰,프라임대부,부산,영도구,동삼동,,N,681,21,", 1076-7, 1126-7, 1145 유림노르웨이숲비치 103동 2층 202호",아파트,2005-10-28 00:00:00,15,2,,N,태종로,705.0,,2017-02-13 00:00:00,배당,35.0718972,129.0765854,221017200
2298,임의,일반,25000000,문일감정,2016-09-26 00:00:00,4,2,8880.0,31.69,7.04,84.6,18.8,41000000,26240000,2017-09-28 00:00:00,2018-01-11 00:00:00,낙찰,Private,부산,사하구,신평동,,N,437,,삼창강변 102동 11층 1111호,아파트,1998-01-26 00:00:00,22,11,"공유자 박수미,박종학으로부터 공유자 우선매수신고 있음.공유자가 민사집행법 제140조에 의한 우선매수신고를 한경우 그 매수신고 후 최초로 진행되는 매각기일에 매수보증금의 미납으로 실효되는 경우 그 공유자는 그 이후 해당부동산의 매각기일에서는 우선매수권을 행사할 수 없다.(단,당해 기일에 다른 매수신고인이 없는 경우 최저매각가액을 공유자우선매수신고액으로 봄)",Y,비봉로,37.0,,2018-04-19 00:00:00,배당,35.0982223,128.965136,31888000
2550,임의,일반,135000000,미르감정,2016-07-24 00:00:00,2,1,0.0,0.0,0.0,106.34,106.34,560000000,448000000,2017-01-19 00:00:00,2017-03-30 00:00:00,낙찰,대부F&D,부산,해운대구,중동,,N,1519,3,", 1522-1,-2, 1523-1,-2,-3,-4,-5, 1524-1,-2,-3,-4, 1525-1, 1527-2, 1528, 1539-1 해운대힐스테이트위브 T-101동 5층 504호",아파트,2015-06-17 00:00:00,39,5,,N,좌동순환로433번길,30.0,,2017-07-24 00:00:00,배당,35.1619479,129.1791098,518800000
2046,임의,일반,953680000,국제감정,2016-06-01 00:00:00,1,0,82385.1,80.62,80.62,182.76,182.76,669000000,669000000,2016-10-21 00:00:00,2016-10-21 00:00:00,낙찰,국민은행,부산,연제구,연산동,,N,2262,,",2263 연산자이 116동 26층 2602호",아파트,2010-08-13 00:00:00,28,26,,N,과정로343번길,43.0,,2016-12-20 00:00:00,배당,35.1885799,129.0893353,670190000
2678,강제,일반,13848484,드림감정,2017-06-14 00:00:00,2,1,41235.0,53.84,53.84,150.8,150.8,604000000,483200000,2017-10-31 00:00:00,2017-12-05 00:00:00,낙찰,Private,부산,수영구,민락동,,N,108,1,센텀비치푸르지오 107동 8층 802호,아파트,2003-09-01 00:00:00,31,8,,N,광안해변로,418.0,,2018-01-31 00:00:00,배당,35.1598325,129.1311544,531100000
2682,임의,일반,149393725,금정감정,2017-07-04 00:00:00,3,2,12133.7,25.7,25.7,74.45,74.45,165000000,105600000,2017-12-05 00:00:00,2018-03-20 00:00:00,낙찰,HK저축은행,부산,해운대구,재송동,,N,1041,3,",1043-1,1045-1,1067-5 금호 103동 1층 101호",아파트,2009-09-28 00:00:00,21,1,,N,재반로,141.0,,2018-05-16 00:00:00,배당,35.1916656,129.1268635,143999000
1861,임의,개별,1046685025,대일감정,2015-12-02 00:00:00,2,1,331.0,7.59,7.59,43.63,43.63,160000000,128000000,2016-05-06 00:00:00,2016-07-29 00:00:00,낙찰,부산은행,부산,동래구,온천동,,N,189,122,아이너스 12층 1203호,아파트,2014-12-19 00:00:00,14,12,,N,차밭골로,24.0,,2016-12-22 00:00:00,배당,35.2166453,129.0791494,133000000
2037,임의,일반,42479480,미래새한감정,2016-05-25 00:00:00,2,1,798.0,41.69,41.69,83.84,83.84,149000000,119200000,2016-08-26 00:00:00,2016-09-30 00:00:00,낙찰,농협은행,부산,영도구,동삼동,,N,229,10,",-167,-190 영도도남하이츠빌라 4층 403호",아파트,2002-12-26 00:00:00,9,4,,N,웃서발로31번길,22.0,,2016-12-01 00:00:00,배당,35.0810031,129.0680908,126651100
2103,임의,일반,30665922,한마음감정,2016-08-02 00:00:00,2,1,1389.0,39.43,39.43,62.97,62.97,90000000,72000000,2016-12-30 00:00:00,2017-02-03 00:00:00,낙찰,농협은행,부산,동구,수정동,,N,609,1,필우빌라맨션 가동 5층 501호,주상복합,1990-09-10 00:00:00,6,5,,N,수성로,2.0,1.0,2017-04-05 00:00:00,배당,35.1328404,129.0420399,73899900
2254,강제,일반,160000000,혜림감정,2016-03-02 00:00:00,1,0,2405.0,5.66,5.66,53.29,53.29,206000000,206000000,2016-06-16 00:00:00,2016-06-16 00:00:00,낙찰,Private,부산,동래구,온천동,,N,161,1,온천장SK HUB Olive 25층 2505호,주상복합,2006-05-29 00:00:00,29,25,,N,금강공원로,2.0,,2016-08-23 00:00:00,배당,35.2186309,129.0841419,206119000
1971,임의,일반,45589041,드림감정,2016-03-21 00:00:00,2,1,10145.0,30.87,15.44,59.99,30.0,63000000,50400000,2016-07-22 00:00:00,2016-10-21 00:00:00,낙찰,Private,부산,영도구,봉래동4가,,N,300,,영도유림 103동 9층 906호,아파트,1997-01-21 00:00:00,10,9,,Y,봉래길,94.0,,2016-12-20 00:00:00,배당,35.0906381,129.0507288,60299000
2491,임의,일반,122134370,문일감정,2016-01-26 00:00:00,2,1,12133.7,20.6,20.6,59.67,59.67,145000000,116000000,2016-06-23 00:00:00,2016-07-28 00:00:00,낙찰,청룡동(새),부산,해운대구,재송동,,N,1041,3,",-1,1045-1,1067-5 금호 103동 2층 203호",아파트,2000-09-28 00:00:00,12,2,,N,재반로,141.0,,2016-09-26 00:00:00,배당,35.1916656,129.1268635,136630000
2067,강제,일반,19800000,대한감정,2016-07-05 00:00:00,2,1,17575.3,39.8,39.8,117.59,117.59,352000000,281600000,2017-02-09 00:00:00,2017-04-05 00:00:00,낙찰,Private,부산,서구,부민동3가,,N,76,,부민이-편한세상 101동 1층 105호,아파트,2005-02-16 00:00:00,19,1,,N,해돋이로,313.0,,2017-06-07 00:00:00,배당,35.1041258,129.0160823,362000000
1960,강제,일반,122663013,희감정,2016-03-21 00:00:00,3,1,247.0,17.93,17.93,49.78,49.78,151000000,120800000,2016-07-21 00:00:00,2016-09-22 00:00:00,낙찰,Private,부산,동래구,온천동,,N,186,56,초원시티빌 6층 601호,아파트,2013-01-18 00:00:00,9,6,,N,차밭골로20번길,21.0,,2016-11-30 00:00:00,배당,35.2171796,129.0800552,122000000
2074,임의,일반,120000000,내외감정,2016-07-11 00:00:00,1,0,6904.9,18.41,18.41,124.26,124.26,354000000,354000000,2016-10-26 00:00:00,2016-10-26 00:00:00,낙찰,케이에이제7차유동화전문,부산,연제구,연산동,,N,587,4,SK뷰 22층 102-2201호,주상복합,2006-05-30 00:00:00,35,22,,N,중앙대로1124번길,15.0,,2016-12-27 00:00:00,배당,35.1885896,129.0818862,371131000
2305,임의,일반,311657509,대일감정,2016-10-21 00:00:00,2,1,125210.8,59.64,59.64,138.56,138.56,350000000,280000000,2017-05-19 00:00:00,2017-06-23 00:00:00,낙찰,신용보증기금,부산,사하구,하단동,,N,1175,,", 1176 가락타운 202동 9층 906호",아파트,1992-10-30 00:00:00,16,9,,N,하신번영로,233.0,,2017-08-23 00:00:00,배당,35.1012973,128.9573864,342750000
2237,임의,일반,135600000,대한감정,2017-01-09 00:00:00,2,1,9535.2,31.77,31.77,84.72,84.72,192000000,153600000,2017-09-28 00:00:00,2017-11-02 00:00:00,낙찰,반야월농협,부산,중구,영주동,,N,160,,동아 102동 4층 401호,아파트,1998-12-28 00:00:00,16,4,,N,영주로,65.0,,2017-12-28 00:00:00,배당,35.1126733,129.029836,173711110
2712,임의,일반,51975561,대한감정,2017-04-14 00:00:00,2,1,35977.1,74.49,74.49,84.99,84.99,354000000,283200000,2017-08-22 00:00:00,2017-12-19 00:00:00,낙찰,Private,부산,강서구,명지동,,N,3235,,엘크루솔마레 106동 2층 206호,아파트,2015-01-07 00:00:00,10,2,,N,명지오션시티12로,10.0,,2018-02-27 00:00:00,배당,35.0808553,128.897144,342525000
1783,강제,개별,1087000000,대한감정,2012-06-11 00:00:00,6,5,532.0,16.65,16.65,98.08,98.08,228745632,117118000,2013-07-04 00:00:00,2016-04-29 00:00:00,낙찰,Private,부산,동래구,낙민동,,N,236,,",237-2 삼주 8층 801호",주상복합,1111-11-11 00:00:00,15,8,"**1차감정:220,000,000",N,0,,,2017-06-29 00:00:00,배당,35.2011116,129.0886871,126630000
2164,임의,일반,90000000,오상호감정,2016-10-12 00:00:00,1,0,22200.0,43.61,43.61,48.89,48.89,127000000,127000000,2017-09-28 00:00:00,2017-09-28 00:00:00,낙찰,부산은행,부산,북구,금곡동,,N,1110,,금곡6단지주공 604동 16층 1601호,아파트,1995-10-14 00:00:00,21,16,,N,효열로,40.0,,2017-11-29 00:00:00,배당,35.2488338,129.0154548,127170000
1964,임의,일반,218076179,대화감정,2016-03-16 00:00:00,2,1,26420.0,58.19,58.19,131.98,131.98,265000000,212000000,2016-08-18 00:00:00,2016-09-22 00:00:00,낙찰,제이티캐피탈,부산,사상구,엄궁동,,N,669,2,엄궁대림 103동 4층 406호,아파트,1999-09-07 00:00:00,25,4,,N,엄궁로,158.0,,2016-11-30 00:00:00,배당,35.1291519,128.9782313,251200000
1826,임의,일반,45000000,태화감정,2015-09-21 00:00:00,3,1,0.0,0.0,0.0,68.2,68.2,67000000,53600000,2016-09-30 00:00:00,2016-12-29 00:00:00,낙찰,Private,부산,연제구,연산동,,Y,20,55,국토 4층 402호,아파트,1111-11-11 00:00:00,8,4,,N,망미번영로,103.0,,2017-03-08 00:00:00,배당,35.1763507,129.1112353,55203000
2399,임의,일반,15000000,대일감정,2017-06-01 00:00:00,2,1,14241.4,21.0,21.0,127.0,127.0,407000000,325600000,2017-12-22 00:00:00,2018-01-26 00:00:00,낙찰,오케이캐피탈대부,부산,동구,범일동,,N,825,7,두산위브포세이돈2 4층 102-405호,주상복합,2007-01-31 00:00:00,47,4,,N,자성로116번길,2.0,,2018-04-04 00:00:00,배당,35.1359802,129.0639037,370000000
2576,임의,일반,200000000,국제감정,2016-08-26 00:00:00,1,0,18183.5,40.46,40.46,84.98,84.98,374000000,374000000,2017-01-24 00:00:00,2017-01-24 00:00:00,낙찰,Private,부산,해운대구,반여동,,N,1641,,센텀롯데캐슬3차 302동 28층 2805호,아파트,2006-01-20 00:00:00,29,28,,N,반여로,83.0,,2017-03-29 00:00:00,배당,35.1996038,129.1217426,421000000
1940,임의,일반,14666666,희감정,2016-02-22 00:00:00,1,0,4715.9,31.35,31.35,49.68,49.68,160000000,160000000,2016-06-22 00:00:00,2016-06-22 00:00:00,낙찰,Private,부산,북구,화명동,,N,1429,2,우신 10동 2층 210호,아파트,1987-12-18 00:00:00,5,2,,N,금곡대로324번길,45.0,,2016-08-31 00:00:00,배당,35.2372356,129.0170842,167213000
2124,임의,일반,17980668,하나감정,2016-09-01 00:00:00,1,0,125210.8,36.57,36.57,84.96,84.96,200000000,200000000,2017-02-01 00:00:00,2017-02-01 00:00:00,낙찰,우리은행,부산,사하구,하단동,,N,1175,,",1176 가락타운 313동 10층 1004호",아파트,1992-10-30 00:00:00,24,10,,N,하신중앙로,265.0,,2017-04-06 00:00:00,배당,35.1012973,128.9573864,200200000
2025,강제,일반,40000000,나라감정,2016-05-10 00:00:00,2,1,379.0,4.05,4.05,24.79,24.79,46000000,36800000,2017-02-14 00:00:00,2017-03-21 00:00:00,낙찰,Private,부산,중구,보수동2가,,N,118,3,노블레스힐 7층 706호,주상복합,2002-08-27 00:00:00,10,7,,N,대청로,37.0,,2017-05-24 00:00:00,배당,35.1033792,129.0240851,45980000
2400,임의,일반,360000000,써브감정,2017-05-17 00:00:00,2,1,50883.0,51.49,51.49,146.1,146.1,469000000,375200000,2018-01-05 00:00:00,2018-03-02 00:00:00,낙찰,부산은행,부산,연제구,거제동,,N,714,144,",-163,-164,-165,-211,-214 거제유림아시아드 109동 5층 502호",아파트,2001-11-12 00:00:00,25,5,,N,해맞이로,23.0,,2018-05-09 00:00:00,배당,35.177636,129.0656932,405000000
2332,임의,개별,5691450,부경감정,2017-01-13 00:00:00,2,1,149683.1,71.0,71.0,49.94,49.94,119000000,95200000,2017-10-13 00:00:00,2017-11-17 00:00:00,낙찰,국민은행,부산,사상구,모라동,,N,552,,백양그린 207동 12층 1208호,아파트,1992-07-31 00:00:00,15,12,,N,모라로110번길,88.0,,2018-01-31 00:00:00,배당,35.1846011,128.9967645,104110000
1819,임의,일반,137710940,통일감정,2015-09-09 00:00:00,2,1,20662.0,43.15,43.15,84.97,84.97,208000000,166400000,2016-03-30 00:00:00,2016-04-27 00:00:00,낙찰,부산은행,부산,영도구,청학동,,N,99,294,신영도롯데낙천대 106동 7층 702호,아파트,2005-12-26 00:00:00,20,7,,N,청학남로,48.0,,2016-06-15 00:00:00,배당,35.0882359,129.0624309,197555000
2143,임의,일반,132176824,대화감정,2016-09-28 00:00:00,1,0,8721.0,55.18,55.18,76.67,76.67,181000000,181000000,2017-05-10 00:00:00,2017-05-10 00:00:00,낙찰,농협은행,부산,부산진구,연지동,,N,376,8,삼익 1동 11층 1105호,아파트,1978-04-13 00:00:00,12,11,,N,새싹로,149.0,,2017-07-12 00:00:00,배당,35.1692218,129.049745,259399900
2193,임의,일반,600000000,나라감정,2016-11-18 00:00:00,1,0,26718.0,56.85,56.85,164.85,164.85,345000000,345000000,2017-06-22 00:00:00,2017-06-22 00:00:00,낙찰,대구은행,부산,사상구,주례동,,N,10,4,엘지신주례 207동 6층 604호,아파트,1996-12-18 00:00:00,24,6,,N,백양대로342번길,17.0,,2017-08-28 00:00:00,배당,35.153895,129.0133018,381000000
2155,강제,일반,25750841,한마음감정,2016-10-04 00:00:00,2,1,15695.4,18.07,18.07,59.82,59.82,243000000,194400000,2017-03-21 00:00:00,2017-04-25 00:00:00,낙찰,삼성카드,부산,금정구,부곡동,,N,235,5,우신뉴타운 102동 15층 1508호,아파트,1995-05-09 00:00:00,24,15,,N,중앙대로1667번길,8.0,,2017-06-22 00:00:00,배당,35.2340785,129.0906005,236640000
2172,임의,개별,100000000,대화감정,2016-10-24 00:00:00,1,0,2179.4,4.99,4.99,46.33,46.33,106000000,106000000,2017-05-10 00:00:00,2017-05-10 00:00:00,낙찰,영진건설,부산,부산진구,전포동,,N,892,21,서면노르웨이아침 22층 2205호,주상복합,2004-11-15 00:00:00,27,22,,N,동천로,10.0,1.0,2017-07-20 00:00:00,배당,35.1499607,129.063476,109550000
1910,임의,일반,118958072,삼보감정,2015-11-05 00:00:00,2,1,48890.0,42.3,42.3,83.6,83.6,178000000,142400000,2016-06-10 00:00:00,2016-07-08 00:00:00,낙찰,한화손해보험,부산,부산진구,당감동,,N,791,,국제백양 11동 9층 901호,아파트,1995-03-18 00:00:00,15,9,,N,백양관문로,104.0,,2016-09-09 00:00:00,배당,35.1684256,129.0284943,173000000
2686,강제,일반,61932733,한마음감정,2017-07-14 00:00:00,3,2,61699.3,58.85,58.85,84.97,84.97,301000000,192640000,2017-12-05 00:00:00,2018-03-20 00:00:00,낙찰,Private,부산,기장군,정관읍,모전리,N,730,,이지더원3차 301동 3층 303호,아파트,2015-04-30 00:00:00,18,3,,N,정관로,350.0,,2018-05-16 00:00:00,배당,35.3358849,129.163246,237200000
2022,임의,일반,63202614,대한감정,2016-05-16 00:00:00,1,0,26572.0,39.26,39.26,53.85,53.85,89000000,89000000,2016-09-30 00:00:00,2016-09-30 00:00:00,낙찰,국민은행,부산,영도구,동삼동,,N,656,,",654-1 조양비취맨션 6동 4층 406호",아파트,1985-12-26 00:00:00,5,4,,N,절영로,504.0,,2016-12-02 00:00:00,배당,35.0716959,129.0716517,94390000
2173,임의,일반,264822041,한라감정,2016-10-19 00:00:00,1,0,50883.0,59.4,59.4,168.53,168.53,425000000,425000000,2017-05-19 00:00:00,2017-05-19 00:00:00,낙찰,하나은행,부산,연제구,거제동,,N,714,144,",-163,-164,-165,-211,-214 거제유림아시아드 103동 17층 1701호",아파트,2001-11-12 00:00:00,25,17,,N,해맞이로,23.0,,2017-07-19 00:00:00,배당,35.177636,129.0656932,465871000
2171,임의,개별,100000000,대화감정,2016-10-24 00:00:00,1,0,2179.4,4.42,4.42,38.53,38.53,94000000,94000000,2017-05-10 00:00:00,2017-05-10 00:00:00,낙찰,영진건설,부산,부산진구,전포동,,N,892,21,서면노르웨이아침 18층 1811호,주상복합,2004-11-15 00:00:00,27,18,,N,동천로,10.0,1.0,2017-07-20 00:00:00,배당,35.1499607,129.063476,96581000
2157,강제,일반,12764116,대일감정,2016-10-21 00:00:00,2,1,23082.0,51.34,51.34,84.95,84.95,144000000,115200000,2017-02-01 00:00:00,2017-03-08 00:00:00,낙찰,Private,부산,사하구,장림동,,N,566,7,강남 1동 15층 1505호,아파트,1992-08-26 00:00:00,15,15,,N,장평로41번길,61.0,,2017-05-17 00:00:00,배당,35.0719892,128.9708351,132999000
2503,강제,일반,48644335,한라감정,2016-03-16 00:00:00,2,1,7624.8,41.15,41.15,84.98,84.98,155000000,124000000,2016-08-17 00:00:00,2016-09-21 00:00:00,낙찰,유진대부금융,부산,해운대구,재송동,,N,1123,3,한보미도 14층 1412호,아파트,1992-10-10 00:00:00,15,14,,N,재반로64번길,74.0,1.0,2016-11-18 00:00:00,배당,35.1868334,129.1300094,147690000
2299,임의,일반,379332776,제일감정,2016-11-08 00:00:00,2,1,440.3,13.03,13.03,136.96,136.96,487000000,389600000,2017-06-22 00:00:00,2017-07-27 00:00:00,낙찰,동부화재해상보험,부산,영도구,대교동1가,,N,1,,브릿지타워 17층 1701호,주상복합,2012-03-27 00:00:00,20,17,,N,태종로,40.0,,2017-09-27 00:00:00,배당,35.0944703,129.0364811,415000000
2736,임의,일반,164989654,나라감정,2017-06-13 00:00:00,2,1,12829.0,29.51,29.51,74.12,74.12,168000000,134400000,2018-01-10 00:00:00,2018-02-21 00:00:00,낙찰,비에스금융대부,부산,사상구,덕포동,,N,51,,오양힐타운 102동 4층 415호,아파트,1992-10-21 00:00:00,18,4,,N,덕상로,8.0,35.0,2018-04-18 00:00:00,배당,35.1717738,128.989478,156348899
2192,임의,일반,240356544,오상호감정,2016-11-15 00:00:00,2,1,60610.0,36.39,36.39,84.91,84.91,228000000,182400000,2017-09-28 00:00:00,2017-11-02 00:00:00,낙찰,국민은행,부산,북구,구포동,,N,1103,2,현대 9동 9층 901호,아파트,1994-05-25 00:00:00,15,9,,N,백양대로,1003.0,,2017-12-13 00:00:00,배당,35.196595,128.9927422,195300000
2536,임의,일반,135000000,금정감정,2016-05-23 00:00:00,1,0,23427.5,22.56,22.56,59.61,59.61,189000000,189000000,2016-10-17 00:00:00,2016-10-17 00:00:00,낙찰,(주)티베이,부산,해운대구,재송동,,N,1048,3,센텀우신골든빌 108동 3층 305호,아파트,2006-11-16 00:00:00,20,3,,N,재반로125번길,30.0,,2016-12-20 00:00:00,배당,35.1902559,129.1249859,205171100
2436,강제,일반,36000000,평진감정,2015-07-21 00:00:00,6,4,7653.0,47.81,47.81,72.17,72.17,100000000,64000000,2016-02-02 00:00:00,2018-03-22 00:00:00,낙찰,Private,부산,해운대구,반송동,,N,401,,",-1 삼한그린맨션 3동 2층 203호",주상복합,1990-05-10 00:00:00,6,2,,N,반송로877번길,91.0,,2018-05-23 00:00:00,배당,35.2342421,129.150655,87879900
2758,임의,일반,160000000,희감정,2017-06-19 00:00:00,2,1,299.5,25.18,25.18,79.89,79.89,240000000,192000000,2017-09-19 00:00:00,2017-10-24 00:00:00,낙찰,Private,부산,서구,토성동5가,,N,18,3,목연정빌라 3층 302호,아파트,2002-04-18 00:00:00,8,3,,N,구덕로134번길,16.0,,2017-11-30 00:00:00,배당,35.0977736,129.0221192,205000000
1943,임의,일반,160000000,한마음감정,2016-02-12 00:00:00,2,1,284.0,17.73,17.73,77.82,77.82,196000000,156800000,2016-07-27 00:00:00,2016-08-24 00:00:00,낙찰,Private,부산,동래구,온천동,,N,1378,9,",-25 대화빌 3층 302호",아파트,2013-02-06 00:00:00,10,3,,N,여고북로73번길,34.0,,2016-11-23 00:00:00,배당,35.2020156,129.068952,171000000
2524,임의,일반,5000000,문일감정,2016-04-18 00:00:00,2,1,1185.9,39.53,19.77,62.55,31.28,65000000,52000000,2016-10-25 00:00:00,2016-11-22 00:00:00,낙찰,Private,부산,남구,용호동,,N,497,2,동산그린맨션 3층 306호,아파트,1985-04-26 00:00:00,5,3,공유자우선매수권행사남용제한,Y,용호로159번길,18.0,,2017-01-18 00:00:00,배당,35.1176088,129.1125771,52000000
1961,임의,일반,153000000,부경감정,2016-03-15 00:00:00,1,0,102460.0,22.57,22.57,59.8,59.8,183000000,183000000,2016-07-20 00:00:00,2016-07-20 00:00:00,낙찰,Private,부산,북구,화명동,,N,1170,1,화명동대림타운 202동 7층 703호,아파트,1998-12-08 00:00:00,25,7,,N,금곡대로,268.0,,2016-09-21 00:00:00,배당,35.230988,129.015462,188253000
2360,임의,일반,50000000,부경감정,2017-02-17 00:00:00,2,1,41884.5,29.41,29.41,59.94,59.94,190000000,152000000,2017-11-02 00:00:00,2017-12-07 00:00:00,낙찰,Private,부산,사상구,엄궁동,,N,680,1,코오롱 103동 20층 2002호,아파트,1999-08-06 00:00:00,25,20,,N,엄궁로,142.0,,2018-01-24 00:00:00,배당,35.12647,128.9783158,170110000
2428,강제,개별,21239452,미르감정,2014-12-31 00:00:00,4,2,989.4,13.95,13.95,41.28,41.28,73000000,46720000,2016-03-29 00:00:00,2016-07-26 00:00:00,낙찰,Private,부산,수영구,수영동,,N,447,9,천양수영골드타워 2층 201C호,주상복합,2005-02-03 00:00:00,8,2,매수인에게 대항할수있는 을구 순위 5번임차권등기(2014.11.13등기)있음.배당에서 보증금이 전액 변제되지 아니하면 잔액을 매수인이 인수함,N,수영로725번길,56.0,,2016-09-21 00:00:00,배당,35.1686302,129.1157392,64777000
2674,임의,일반,200376711,명신감정,2017-05-04 00:00:00,2,1,57269.5,57.25,57.25,101.81,101.81,334000000,267200000,2017-11-02 00:00:00,2017-12-07 00:00:00,낙찰,농협은행,부산,기장군,정관읍,모전리,N,759,,정관롯데캐슬2차 211동 15층 1502호,아파트,2013-08-16 00:00:00,20,15,,N,정관3로,51.0,,2018-02-07 00:00:00,배당,35.3309775,129.1688115,277220000
